date;BEN;CO;MXIL;NO2;NO;O3;PM2_5;SO2;TOL
2020-10-15;;2.2403919858216765;;;;;;;
2020-10-16;;2.82436864856527;;;;;;;
2020-10-17;;3.3596805894135637;;;;;;;
2020-10-18;;4.089651417843056;;;;;;;
2020-10-19;;3.505674755099462;;;;;;;
2020-10-20;;2.8730333704605697;;;;;;;
2020-10-31;;;2.4441719522169896;;;;;;
2020-11-01;;2.0943978201357782;2.0719881873340653;;;;;;
2020-11-17;;2.0457330982404787;;;2.820061906240612;-2.0383834031521917;;;
2020-11-18;;2.0457330982404787;3.156638016421444;;2.7225750682604914;;;;2.424261338719823
2020-11-23;;;2.396319753874899;;2.0076715897396094;;;;
2020-11-24;;;7.723864502627611;;2.4626101669801708;;;;
2020-11-26;;;2.0188190780650763;;;;;;
2020-11-27;;;2.2633969807024266;;2.17014965303981;-2.1036244257446226;;;3.456815921297424
2020-11-29;;;;;;-2.0383834031521917;2.0008684447836367;;
2020-12-13;;;;;;-2.1036244257446226;;;
2020-12-21;;2.3377214296122757;;;4.119886412642216;-2.1036244257446226;;;2.9030668911247592
2020-12-22;;;;;2.4626101669801708;;;;
2021-01-10;;2.2403919858216765;;;;;;;
2021-01-11;;2.1917272639263774;;;;;;;
2021-01-13;;7.544846672409318;;;;;;;
2021-01-14;;4.673628080586649;;;;;;;
2021-01-17;;2.3377214296122757;;;;;;;
2021-01-26;;2.3377214296122757;;;;;;;
2021-01-27;;2.143062542031078;;;;;;;
2021-01-28;;2.970362814251169;;;;-2.1036244257446226;;;
2021-01-29;;3.1650217018323668;;;;-2.0383834031521917;;;
2021-01-31;;;;;;2.006559997578524;;;
2021-02-11;;2.3863861515075753;;;;;;;
2021-02-13;;2.0457330982404787;;;;;;;
2021-02-17;;2.3863861515075753;;;;;;;
2021-02-20;;;;;;2.071801020170955;;;
2021-03-04;;;;;;;2.2677611708571863;;
2021-03-10;;;2.842940271734408;;;;2.0008684447836367;;
2021-03-11;;;2.7578696969040255;;;;;;
2021-03-29;;;2.3325168227521123;;;;;;
2021-03-30;;2.143062542031078;;2.4244538037787233;;;2.668100259967511;2.729284980484407;
2021-03-31;;;;;;;2.534653896930736;;
2021-04-01;;;;;;;2.9349929860410606;;
2021-07-19;;2.143062542031078;;;;;;;
2021-08-17;;;;;;2.137042042763386;;;
2021-08-28;;;;;;2.2675240879482472;;;
2021-09-06;;;;2.4244538037787233;;;;;
2021-10-14;;;2.7631866078309244;;;;;;
