date;BEN;zscore_BEN;svm_BEN;fda_BEN;CO;zscore_CO;svm_CO;fda_CO;MXIL;zscore_MXIL;svm_MXIL;fda_MXIL;NO2;zscore_NO2;svm_NO2;fda_NO2;NO;zscore_NO;svm_NO;fda_NO;O3;zscore_O3;svm_O3;fda_O3;PM2_5;zscore_PM2_5;svm_PM2_5;fda_PM2_5;SO2;zscore_SO2;svm_SO2;fda_SO2;TOL;zscore_TOL;svm_TOL;fda_TOL
2017-03-21;0.29;0;0;0;0.17;0;0;0;0.28;0;0;0;28.0;0;0;0;9.0;0;0;0;39.0;0;0;0;10.0;0;0;0;5.0;0;0;0;1.71;0;0;0
2017-03-22;0.21;0;0;0;0.15;0;0;0;0.23;0;0;0;22.0;0;0;0;10.0;0;0;0;45.0;0;0;0;10.0;0;0;0;4.0;0;0;0;1.21;0;0;0
2017-03-23;0.22;0;0;0;0.15;0;0;0;0.23;0;0;0;22.0;0;0;0;13.0;0;0;0;53.0;0;0;0;11.0;0;0;0;4.0;0;0;0;1.08;0;0;0
2017-03-24;0.36;0;0;0;0.17;0;0;0;0.37;0;0;0;29.0;0;0;0;21.0;0;0;0;38.0;0;0;0;13.0;0;0;0;4.0;0;0;0;1.49;0;0;0
2017-03-25;0.62;0;0;0;0.28;0;0;0;0.66;0;0;0;38.0;0;0;0;13.0;0;0;0;18.0;0;0;0;14.0;0;0;0;9.0;0;0;0;2.36;0;0;0
2017-03-26;0.5;0;0;0;0.19;0;0;0;0.48;0;0;0;22.0;0;0;0;7.0;0;0;0;48.0;0;0;0;11.0;0;0;0;3.0;0;0;0;1.8;0;0;0
2017-03-27;0.32;0;0;1;0.18;0;0;0;0.38;0;0;0;26.0;0;0;0;9.0;0;0;0;48.0;0;0;0;8.0;0;0;0;5.0;0;0;0;1.91;0;0;0
2017-03-28;0.63;0;0;1;0.32;0;0;0;1.19;0;0;0;41.0;0;0;0;29.0;0;0;0;29.0;0;0;0;13.0;0;0;0;10.0;0;0;0;5.16;0;0;0
2017-03-29;0.74;0;0;1;0.4;0;0;0;1.38;0;0;0;44.0;0;0;0;45.0;0;0;0;20.0;0;0;0;12.0;0;0;0;9.0;0;0;0;5.7;0;0;0
2017-03-30;0.94;0;0;1;0.37;0;0;0;1.82;0;0;0;40.0;0;0;0;48.0;0;0;0;24.0;0;0;0;15.0;0;0;0;7.0;0;0;0;6.3;0;0;0
